seed,cohort,evaluator,method,client,score
4102,B,equal_subject,shapley,17,0.006685286737766499
4102,B,equal_subject,leave_one_out,11,0.0007814526058413929
4102,B,equal_subject,leave_one_out,14,0.0016636980739166418
4102,B,equal_subject,leave_one_out,16,-0.0018538843141675532
4102,B,equal_subject,leave_one_out,17,9.179928413605154e-05
4102,B,equal_subject,data_size,11,0.23015294974508377
4102,B,equal_subject,data_size,14,0.23525127458120904
4102,B,equal_subject,data_size,16,0.26656955571740715
4102,B,equal_subject,data_size,17,0.26802621995630005
4102,C,sample_frequency,shapley,19,-1.8936344066568554e-05
4102,C,sample_frequency,shapley,22,0.009065276422289834
4102,C,sample_frequency,shapley,23,0.008964587022528956
4102,C,sample_frequency,shapley,25,0.007491466285641486
4102,C,sample_frequency,leave_one_out,19,-0.0005964831674564186
4102,C,sample_frequency,leave_one_out,22,0.0006747416456686084
4102,C,sample_frequency,leave_one_out,23,0.0020710644088161034
4102,C,sample_frequency,leave_one_out,25,0.0003720731630603158
4102,C,sample_frequency,data_size,19,0.24623803009575923
4102,C,sample_frequency,data_size,22,0.21956224350205197
4102,C,sample_frequency,data_size,23,0.25444596443228457
4102,C,sample_frequency,data_size,25,0.27975376196990426
4102,C,equal_class,shapley,19,-0.0001343164829611203
4102,C,equal_class,shapley,22,0.009337415220082839
4102,C,equal_class,shapley,23,0.009660978645204063
4102,C,equal_class,shapley,25,0.00762172864609421
4102,C,equal_class,leave_one_out,19,-0.0010243559194249574
4102,C,equal_class,leave_one_out,22,0.000735486111722583
4102,C,equal_class,leave_one_out,23,0.002388220009274522
4102,C,equal_class,leave_one_out,25,0.0003533557345486438
4102,C,equal_class,data_size,19,0.24623803009575923
4102,C,equal_class,data_size,22,0.21956224350205197
4102,C,equal_class,data_size,23,0.25444596443228457
4102,C,equal_class,data_size,25,0.27975376196990426
4102,C,equal_subject,shapley,19,-0.0005618681235390794
4102,C,equal_subject,shapley,22,0.008927947193876712
4102,C,equal_subject,shapley,23,0.00915207946367183
4102,C,equal_subject,shapley,25,0.007627164180676815
4102,C,equal_subject,leave_one_out,19,-0.0008870616814741217
4102,C,equal_subject,leave_one_out,22,0.0006586485478533577
4102,C,equal_subject,leave_one_out,23,0.002216584576109515
4102,C,equal_subject,leave_one_out,25,0.000511926886530456
4102,C,equal_subject,data_size,19,0.24623803009575923
4102,C,equal_subject,data_size,22,0.21956224350205197
4102,C,equal_subject,data_size,23,0.25444596443228457
4102,C,equal_subject,data_size,25,0.27975376196990426
4102,D,sample_frequency,shapley,27,0.005985673231221401
4102,D,sample_frequency,shapley,28,0.004626702182448095
4102,D,sample_frequency,shapley,29,0.010760400249109958
4102,D,sample_frequency,shapley,30,0.00505722793204505
4102,D,sample_frequency,leave_one_out,27,-0.00036745818619010606
4102,D,sample_frequency,leave_one_out,28,-0.0007786861506690057
4102,D,sample_frequency,leave_one_out,29,0.0023071124787087394
4102,D,sample_frequency,leave_one_out,30,-0.00021800186657106035
4102,D,sample_frequency,data_size,27,0.2531986531986532
4102,D,sample_frequency,data_size,28,0.2572390572390572
4102,D,sample_frequency,data_size,29,0.23164983164983166
4102,D,sample_frequency,data_size,30,0.2579124579124579
4102,D,equal_class,shapley,27,0.006285561783088163
4102,D,equal_class,shapley,28,0.0034089218579960727
4102,D,equal_class,shapley,29,0.010437476853517813
4102,D,equal_class,shapley,30,0.008003594517196715
4102,D,equal_class,leave_one_out,27,-0.0004513936938548291
4102,D,equal_class,leave_one_out,28,-0.0017415579328008413
4102,D,equal_class,leave_one_out,29,0.0019437085032323331
4102,D,equal_class,leave_one_out,30,0.001268751576120719
4102,D,equal_class,data_size,27,0.2531986531986532
4102,D,equal_class,data_size,28,0.2572390572390572
4102,D,equal_class,data_size,29,0.23164983164983166
4102,D,equal_class,data_size,30,0.2579124579124579
4102,D,equal_subject,shapley,27,0.00587494996962291
4102,D,equal_subject,shapley,28,0.004572794110705056
4102,D,equal_subject,shapley,29,0.010941805953182752
4102,D,equal_subject,shapley,30,0.004748604119377396
4102,D,equal_subject,leave_one_out,27,-0.000388462979973192
4102,D,equal_subject,leave_one_out,28,-0.0007701490974491021
4102,D,equal_subject,leave_one_out,29,0.0024400438389160506
4102,D,equal_subject,leave_one_out,30,-0.0003386787183915496
4102,D,equal_subject,data_size,27,0.2531986531986532
4102,D,equal_subject,data_size,28,0.2572390572390572
4102,D,equal_subject,data_size,29,0.23164983164983166
4102,D,equal_subject,data_size,30,0.2579124579124579
4103,A,sample_frequency,shapley,3,0.01015456521618378
4103,A,sample_frequency,shapley,5,0.007434956933958496
4103,A,sample_frequency,shapley,6,0.008851537272473675
4103,A,sample_frequency,shapley,8,0.006785792434386742
4103,A,sample_frequency,leave_one_out,3,0.0021498771054173638
4103,A,sample_frequency,leave_one_out,5,-0.0008474775596173378
4103,A,sample_frequency,leave_one_out,6,0.0003438171876617435
4103,A,sample_frequency,leave_one_out,8,-3.374226618946263e-05
4103,A,sample_frequency,data_size,3,0.27301841473178545
4103,A,sample_frequency,data_size,5,0.24179343474779824
4103,A,sample_frequency,data_size,6,0.2602081665332266
4103,A,sample_frequency,data_size,8,0.22497998398718974
4103,A,equal_class,shapley,3,0.013668802247410277
4103,A,equal_class,shapley,5,0.0067036396909804594
4103,A,equal_class,shapley,6,0.008748648448187032
4103,A,equal_class,shapley,8,0.0023841299483936176
4103,A,equal_class,leave_one_out,3,0.004579123090097115
4103,A,equal_class,leave_one_out,5,-0.001092242750422745
4103,A,equal_class,leave_one_out,6,0.00045270711382261464
4103,A,equal_class,leave_one_out,8,-0.0019981766655825517
4103,A,equal_class,data_size,3,0.27301841473178545
4103,A,equal_class,data_size,5,0.24179343474779824
4103,A,equal_class,data_size,6,0.2602081665332266
4103,A,equal_class,data_size,8,0.22497998398718974
4103,A,equal_subject,shapley,3,0.010073978680080578
4103,A,equal_subject,shapley,5,0.0075445584539271995
4103,A,equal_subject,shapley,6,0.00880863316844141
