seed,cohort,evaluator,method,client,share,uniform_fallback
4102,B,equal_subject,data_size,17,0.26802621995630005,False
4102,C,sample_frequency,shapley,19,0.0,False
4102,C,sample_frequency,shapley,22,0.3552039222889795,False
4102,C,sample_frequency,shapley,23,0.35125861846569545,False
4102,C,sample_frequency,shapley,25,0.29353745924532504,False
4102,C,sample_frequency,leave_one_out,19,0.0,False
4102,C,sample_frequency,leave_one_out,22,0.21641045037013656,False
4102,C,sample_frequency,leave_one_out,23,0.6642542139418823,False
4102,C,sample_frequency,leave_one_out,25,0.11933533568798112,False
4102,C,sample_frequency,data_size,19,0.24623803009575923,False
4102,C,sample_frequency,data_size,22,0.21956224350205197,False
4102,C,sample_frequency,data_size,23,0.25444596443228457,False
4102,C,sample_frequency,data_size,25,0.27975376196990426,False
4102,C,equal_class,shapley,19,0.0,False
4102,C,equal_class,shapley,22,0.35076529854777116,False
4102,C,equal_class,shapley,23,0.3629201421245762,False
4102,C,equal_class,shapley,25,0.2863145593276527,False
4102,C,equal_class,leave_one_out,19,0.0,False
4102,C,equal_class,leave_one_out,22,0.2115251733441318,False
4102,C,equal_class,leave_one_out,23,0.6868500212227816,False
4102,C,equal_class,leave_one_out,25,0.10162480543308659,False
4102,C,equal_class,data_size,19,0.24623803009575923,False
4102,C,equal_class,data_size,22,0.21956224350205197,False
4102,C,equal_class,data_size,23,0.25444596443228457,False
4102,C,equal_class,data_size,25,0.27975376196990426,False
4102,C,equal_subject,shapley,19,0.0,False
4102,C,equal_subject,shapley,22,0.34729376889369346,False
4102,C,equal_subject,shapley,23,0.3560124294118954,False
4102,C,equal_subject,shapley,25,0.29669380169441106,False
4102,C,equal_subject,leave_one_out,19,0.0,False
4102,C,equal_subject,leave_one_out,22,0.19445451227957422,False
4102,C,equal_subject,leave_one_out,23,0.6544079905415147,False
4102,C,equal_subject,leave_one_out,25,0.15113749717891112,False
4102,C,equal_subject,data_size,19,0.24623803009575923,False
4102,C,equal_subject,data_size,22,0.21956224350205197,False
4102,C,equal_subject,data_size,23,0.25444596443228457,False
4102,C,equal_subject,data_size,25,0.27975376196990426,False
4102,D,sample_frequency,shapley,27,0.22647266050291076,False
4102,D,sample_frequency,shapley,28,0.17505492066425943,False
4102,D,sample_frequency,shapley,29,0.4071282173876454,False
4102,D,sample_frequency,shapley,30,0.1913442014451845,False
4102,D,sample_frequency,leave_one_out,27,0.0,False
4102,D,sample_frequency,leave_one_out,28,0.0,False
4102,D,sample_frequency,leave_one_out,29,1.0,False
4102,D,sample_frequency,leave_one_out,30,0.0,False
4102,D,sample_frequency,data_size,27,0.2531986531986532,False
4102,D,sample_frequency,data_size,28,0.2572390572390572,False
4102,D,sample_frequency,data_size,29,0.23164983164983166,False
4102,D,sample_frequency,data_size,30,0.2579124579124579,False
4102,D,equal_class,shapley,27,0.22340280049397587,False
4102,D,equal_class,shapley,28,0.12116064021365587,False
4102,D,equal_class,shapley,29,0.3709710666500381,False
4102,D,equal_class,shapley,30,0.28446549264233006,False
4102,D,equal_class,leave_one_out,27,0.0,False
4102,D,equal_class,leave_one_out,28,0.0,False
4102,D,equal_class,leave_one_out,29,0.6050529672648168,False
4102,D,equal_class,leave_one_out,30,0.39494703273518317,False
4102,D,equal_class,data_size,27,0.2531986531986532,False
4102,D,equal_class,data_size,28,0.2572390572390572,False
4102,D,equal_class,data_size,29,0.23164983164983166,False
4102,D,equal_class,data_size,30,0.2579124579124579,False
